"number","species","date","name"
160,"Ängshök",1979-06-01,"Ölands norra udde"
159,"Svarttärna",1979-05-15,"Ölands norra udde"
158,"Sparvuggla",1979-04-09,"Ölands norra udde"
157,"Storskarv",1979-03-11,"Ölands norra udde"
156,"Trastsångare",1978-06-05,"Ölands norra udde"
155,"Korp",1978-04-11,"Ölands norra udde"
154,"Fiskgjuse",1977-07-06,"Ölands norra udde"
153,"Svartsnäppa",1977-06-27,"Ölands norra udde"
152,"Mindre korsnäbb",1977-06-27,"Ölands norra udde"
151,"Vitögd dykand",1977-06-20,"Ölands norra udde"
150,"Varfågel",1976-12-26,"Ölands norra udde"
149,"Vitkindad gås",1976-10-28,"Ölands norra udde"
148,"Mindre sångsvan",1976-10-28,"Ölands norra udde"
147,"Gråhakedopping",1976-10-28,"Ölands norra udde"
146,"Snösparv",1976-10-28,"Ölands norra udde"
145,"Stjärtand",1976-08-21,"Ölands norra udde"
144,"Kustsnäppa",1976-08-02,"Ölands norra udde"
143,"Gråhäger",1976-07-16,"Ölands norra udde"
142,"Busksångare",1976-06-21,"Ölands norra udde"
141,"Nötkråka",1976-06-06,"Ölands norra udde"
140,"Stenknäck",1976-06-06,"Ölands norra udde"
139,"Lundsångare",1976-05-30,"Ölands norra udde"
138,"Kustpipare",1976-05-27,"Ölands norra udde"
137,"Kärrsnäppa",1976-05-27,"Ölands norra udde"
136,"Kungsfågel",1976-05-08,"Ölands norra udde"
135,"Större korsnäbb",1975-07-04,"Ölands norra udde"
134,"Praktejder",1974-12-07,"Ölands norra udde"
133,"Snatterand",1974-06-07,"Ölands norra udde"
132,"Årta",1974-06-01,"Ölands norra udde"
131,"Skäggdopping",1974-05-24,"Ölands norra udde"
130,"Mosnäppa",1974-05-24,"Ölands norra udde"
129,"Grönbena",1974-05-24,"Ölands norra udde"
128,"Smålom",1974-05-24,"Ölands norra udde"
127,"Göktyta",1974-05-24,"Ölands norra udde"
126,"Gransångare",1974-05-24,"Ölands norra udde"
125,"Buskskvätta",1974-05-24,"Ölands norra udde"
124,"Alförrädare",1974-04-16,"Ölands norra udde"
123,"Jaktfalk",1974-04-16,"Ölands norra udde"
122,"Talltita",1973-08-22,"Ölands norra udde"
121,"Taltrast",1973-08-22,"Ölands norra udde"
120,"Rödhake",1973-08-22,"Ölands norra udde"
119,"Stenskvätta",1973-08-22,"Ölands norra udde"
118,"Trädpiplärka",1973-08-22,"Ölands norra udde"
117,"Mindre strandpipare",1973-06-12,"Ölands norra udde"
116,"Trana",1973-05-31,"Ölands norra udde"
115,"Kricka",1972-06-20,"Ölands norra udde"
114,"Drillsnäppa",1972-06-20,"Ölands norra udde"
113,"Skata",1972-06-20,"Ölands norra udde"
112,"Kaja",1972-06-20,"Ölands norra udde"
111,"Blåmes",1972-06-20,"Ölands norra udde"
110,"Talgoxe",1972-06-20,"Ölands norra udde"
109,"Sånglärka",1972-06-20,"Ölands norra udde"
108,"Svarthätta",1972-06-20,"Ölands norra udde"
107,"Stare",1972-06-20,"Ölands norra udde"
106,"Skedand",1972-06-04,"Ölands norra udde"
105,"Tamduva",1972-06-04,"Ölands norra udde"
104,"Småspov",1972-06-04,"Ölands norra udde"
103,"Törnskata",1972-06-04,"Ölands norra udde"
102,"Rörsångare",1972-06-04,"Ölands norra udde"
101,"Härmsångare",1972-06-04,"Ölands norra udde"
100,"Höksångare",1972-06-04,"Ölands norra udde"
99,"Näktergal",1972-06-04,"Ölands norra udde"
98,"Rödstjärt",1972-06-04,"Ölands norra udde"
97,"Grönfink",1972-06-04,"Ölands norra udde"
96,"Hämpling",1972-06-04,"Ölands norra udde"
95,"Rödstrupig piplärka",1972-05-26,"Ölands norra udde"
94,"Steglits",1972-05-26,"Ölands norra udde"
93,"Forsärla",1972-05-21,"Ölands norra udde"
92,"Tornfalk",1972-05-20,"Ölands norra udde"
91,"Gräsand",1972-01-04,"Ölands norra udde"
90,"Mindre hackspett",1971-08-26,"Ölands norra udde"
89,"Lärkfalk",1971-08-26,"Ölands norra udde"
88,"Trädgårdssångare",1970-05-26,"Ölands norra udde"
87,"Ortolansparv",1970-05-26,"Ölands norra udde"
86,"Bergand",1970-05-09,"Ölands norra udde"
85,"Ärtsångare",1970-05-09,"Ölands norra udde"
84,"Svart rödstjärt",1970-05-09,"Ölands norra udde"
83,"Svarthakedopping",1970-05-03,"Ölands norra udde"
82,"Sparvhök",1969-01-04,"Ölands norra udde"
81,"Sidensvans",1969-01-04,"Ölands norra udde"
80,"Rosenfink",1967-07-20,"Ölands norra udde"
79,"Grågås",1967-05-19,"Ölands norra udde"
78,"Knipa",1967-05-19,"Ölands norra udde"
